VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
2C4RC1N71H,Kitsap,Bremerton,WA,98311.0,2017,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,23.0,349437882,POINT (-122.6466274 47.6341188),PUGET SOUND ENERGY INC,53035091800.0
2C4RC1N7XL,Stevens,Colville,WA,99114.0,2020,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,7.0,154690532,POINT (-117.90431 48.547075),AVISTA CORP,53065950500.0
KNDC3DLCXN,Yakima,Yakima,WA,98908.0,2022,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14.0,219969144,POINT (-120.6027202 46.5965625),PACIFICORP,53077000904.0
5YJ3E1EA0J,Kitsap,Bainbridge Island,WA,98110.0,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23.0,476786887,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035091001.0
1N4AZ1CP7J,Thurston,Tumwater,WA,98501.0,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,35.0,201185253,POINT (-122.89692 47.043535),PUGET SOUND ENERGY INC,53067011720.0
KNDCC3LG6K,Kitsap,Port Orchard,WA,98367.0,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,26.0,478017067,POINT (-122.6847073 47.50524),PUGET SOUND ENERGY INC,53035092902.0
WMZYU7C51K,Yakima,Yakima,WA,98902.0,2019,MINI,COUNTRYMAN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,12,36900,14.0,146830148,POINT (-120.524012 46.5973939),PACIFICORP,53077001000.0
7SAYGDEF8N,Yakima,Yakima,WA,98901.0,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15.0,207786505,POINT (-120.500225 46.6043),PACIFICORP,53077001601.0
JTDKN3DP1C,Kitsap,Olalla,WA,98359.0,2012,TOYOTA,PRIUS PLUG-IN,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,6,0,26.0,284893416,POINT (-122.54483 47.41801),PUGET SOUND ENERGY INC,53035092803.0
5YJ3E1EB1M,Kitsap,Poulsbo,WA,98370.0,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23.0,211699309,POINT (-122.64177 47.737525),PUGET SOUND ENERGY INC,53035940100.0
1N4BZ0CP4G,Kitsap,Bainbridge Island,WA,98110.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23.0,159844121,POINT (-122.5235781 47.6293323),PUGET SOUND ENERGY INC,53035090700.0
1FADP5CU8G,Thurston,Rainier,WA,98576.0,2016,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,2.0,477478004,POINT (-122.6898776 46.8908492),PUGET SOUND ENERGY INC,53067012531.0
1N4AZ0CP5G,Kitsap,Bremerton,WA,98312.0,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35.0,107494789,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080600.0
1N4AZ1CP3K,Thurston,Olympia,WA,98513.0,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,2.0,168526641,POINT (-122.817545 46.98876),PUGET SOUND ENERGY INC,53067011624.0
5YJSA1E21J,Island,Clinton,WA,98236.0,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,10.0,476056199,POINT (-122.359364 47.9796552),PUGET SOUND ENERGY INC,53029972000.0
